"title","year","age","im_db","rotten_tomatoes","runtime","streaming","main_language"
"The Adventurer: The Curse of the Midas Box",2013,"7+",5.4,2,100,"Amazon","English"
"Cars",2006,"all",7.1,7.5,117,"Disney+","English"
"Generation Wealth",2018,"18+",6.6,4.5,105,"Amazon","English"
"The Lincoln Lawyer",2011,"18+",7.3,8.4,118,"Amazon","English"
"Atlantics",2019,"16+",6.7,9.5,106,"Netflix","Foreign"
"Siddharth",2013,"all",7.3,9,96,"Amazon","Foreign"
"Amazing Grace",2018,"all",7.5,9.9,118,"Hulu","English"
"The Nightingale",2019,"18+",7.3,8.6,136,"Hulu","English"
"You Can Count on Me",2000,"18+",7.5,9.5,111,"Amazon","English"
"Biggie and Tupac",2002,"18+",6.8,7.9,108,"Amazon","English"
"Ernest & Celestine",2012,"7+",7.9,9.7,80,"Amazon","Foreign"
"Evolution",2001,"13+",6.1,4.3,101,"Multiple","English"
"Northern Soul",2014,"13+",6.4,7.6,102,"Amazon","English"
"Mickey's Christmas Carol",1983,"all",8,10,26,"Disney+","English"
"Destination Wedding",2018,"18+",6,5.3,87,"Amazon","English"
"Palo Alto",2014,"18+",6.2,6.9,100,"Amazon","English"
"Jane",2017,"7+",7.8,9.8,120,"Multiple","English"
"Freaks",2019,"18+",6.7,8.7,105,"Netflix","English"
"The Biggest Little Farm",2019,"7+",8.1,9.1,91,"Hulu","English"
"African Cats",2011,"all",7.6,7.3,89,"Disney+","English"
"Sprung",1997,"18+",5,2.2,105,"Multiple","English"
"School of Life",2017,"13+",6.8,4,116,"Amazon","Foreign"
"The Bling Ring",2013,"18+",5.6,5.9,90,"Netflix","English"
"Asylum",1972,"7+",6.5,3.6,99,"Amazon","English"
"Zig Zag",2002,"18+",5.9,4.4,118,"Amazon","English"
"Tootsie",1982,"7+",7.4,9,116,"Netflix","English"
"Book of Blood",2009,"18+",5.3,8,100,"Amazon","English"
"Initial D",2005,"7+",6.4,3.3,107,"Netflix","Foreign"
"Nightbreed",1990,"18+",6.6,3.8,102,"Amazon","English"
"Disappearances",2007,"13+",4.9,5,118,"Amazon","English"
"The Watcher",2000,"18+",5.3,1,103,"Netflix","English"
"Electric Slide",2014,"18+",4.7,1.4,95,"Amazon","English"
"Michael H. – Profession: Director",2013,"13+",7,9.1,92,"Amazon","Foreign"
"Jailbreak",2017,"18+",5.4,7,92,"Netflix","Foreign"
"The Last Thing He Wanted",2020,"18+",4.2,0.6,115,"Netflix","English"
"Race to Witch Mountain",2009,"7+",5.7,4.2,98,"Netflix","English"
"Prodigy",2017,"18+",6,7.3,80,"Amazon","English"
"Dolphin Tale 2",2014,"7+",6.4,6.5,107,"Netflix","English"
"Crimes of the Heart",1986,"13+",6.4,8.1,105,"Amazon","English"
"I Lost My Body",2019,"18+",7.6,9.6,81,"Netflix","Foreign"
"Easy Come, Easy Go",1967,"7+",5.3,4.3,95,"Amazon","English"
"Macbeth",2015,"18+",6.6,8,113,"Amazon","English"
"Final",2001,"18+",5.9,4.2,90,"Amazon","English"
"Twilight",1998,"18+",6.2,6,122,"Amazon","English"
"Felony",2014,"18+",6.1,7,105,"Amazon","English"
"Violet & Daisy",2011,"18+",6.1,2.2,88,"Amazon","English"
"Escape from Alcatraz",1979,"7+",7.6,9.6,112,"Multiple","English"
"Click",2006,"13+",6.4,3.3,107,"Netflix","English"
"The Escape of Prisoner 614",2018,"13+",4.6,2,97,"Amazon","English"
"Contract Killer",1998,"18+",6.2,8,98,"Amazon","English"
"A Life Less Ordinary",1997,"18+",6.4,3.9,103,"Hulu","English"
"Class of 1984",1982,"18+",6.6,7.4,98,"Amazon","English"
"Fun Size",2012,"13+",5.4,2.5,86,"Multiple","English"
"The (Silent) War",2019,"18+",5.6,5.6,121,"Netflix","Foreign"
"Some Guy Who Kills People",2011,"18+",6.4,8,97,"Amazon","English"
"The Congressman",2016,"18+",6.3,3.3,98,"Amazon","English"
"Jacob's Ladder",2019,"18+",3.4,0.5,113,"Multiple","English"
"Blue Ruin",2013,"18+",7.1,9.6,90,"Netflix","English"
"Circle of Iron",1978,"18+",5.9,4.3,102,"Amazon","English"
"I Capture the Castle",2003,"18+",6.9,7.9,113,"Amazon","English"
"Suspiria",2018,"18+",6.8,6.5,152,"Amazon","English"
"Nacho Libre",2006,"7+",5.7,3.9,92,"Netflix","English"
"A Quiet Passion",2016,"13+",6.4,9.2,125,"Amazon","English"
"The Absent-Minded Professor",1961,"all",6.8,8.3,92,"Disney+","English"
"Runoff",2015,"18+",5.8,8.3,126,"Amazon","Foreign"
"Conversations with Other Women",2006,"18+",7,7.4,84,"Amazon","English"
"War Machine",2017,"18+",6,4.8,122,"Netflix","English"
"The Monster Squad",1987,"13+",7.1,6.4,79,"Amazon","English"
"Crazy Mama",1975,"7+",5.5,8.8,83,"Amazon","English"
"Camp Rock",2008,"all",5.2,4.5,94,"Disney+","English"
"Antarctica: A Year on Ice",2013,"7+",7.6,8.7,91,"Amazon","English"
"Hotel Transylvania 3: Summer Vacation",2018,"7+",6.3,6.2,97,"Netflix","English"
"Brick Lane",2007,"13+",6.6,6.8,102,"Amazon","English"
"Up",2009,"7+",8.2,9.8,96,"Disney+","English"
"Eight Below",2006,"7+",7.3,7.2,120,"Disney+","English"
"Passion Play",2011,"18+",4.6,0.3,94,"Amazon","English"
"A Kid in King Arthur's Court",1995,"7+",4.7,0.5,89,"Disney+","English"
"G.B.F.",2013,"18+",5.9,8,92,"Amazon","English"
"Teen Beach Movie",2013,"7+",5.9,8.6,110,"Disney+","English"
"Lady Bloodfight",2016,"18+",5.6,4,100,"Netflix","English"
"The Revival",2017,"18+",5.4,7.8,85,"Amazon","English"
"Song to Song",2017,"18+",5.7,4.3,129,"Amazon","English"
"Fun with Dick and Jane",2005,"13+",6.2,2.8,90,"Netflix","English"
"Innocence",2014,"13+",4.6,1.9,110,"Amazon","Foreign"
"Cardinals",2017,"18+",5.5,8.3,84,"Amazon","English"
"Murderball",2005,"18+",7.7,9.8,88,"Amazon","English"
"Kissing Candice",2018,"16+",5.2,7.3,108,"Amazon","English"
"Acrimony",2018,"18+",5.8,1.7,120,"Multiple","English"
"Molly",1999,"13+",5.8,1.4,85,"Amazon","English"
"The B-Side: Elsa Dorfman's Portrait Photography",2017,"18+",6.6,9.7,76,"Netflix","English"
"Scatter My Ashes at Bergdorf's",2013,"13+",6.3,5,93,"Amazon","English"
"Three Wishes",1995,"7+",6.1,1.3,115,"Amazon","English"
"Results",2015,"18+",5.4,8.4,105,"Netflix","English"
"Harold and Maude",1971,"7+",7.9,8.4,91,"Amazon","English"
"Lost Girls",2020,"18+",6.1,7.3,95,"Netflix","English"
"Legion of Brothers",2017,"16+",5.7,10,79,"Hulu","English"
"The Winslow Boy",1999,"all",7.3,9.7,117,"Amazon","English"
"Holes",2003,"7+",7,7.8,117,"Disney+","English"
"Assault on Wall Street",2013,"18+",6,2.5,99,"Amazon","English"
"The Muppet Movie",1979,"all",7.6,8.8,95,"Disney+","English"
"Goldstone",2016,"18+",6.5,7.6,110,"Netflix","English"
"Breakin' 2: Electric Boogaloo",1984,"7+",5.1,2.9,94,"Amazon","English"
"One Day in September",1999,"18+",7.8,9.7,94,"Amazon","English"
"Good Dick",2008,"18+",6.4,5,86,"Amazon","English"
"Believer",2018,"7+",7,6.4,123,"Amazon","Foreign"
"Guncrazy",1992,"18+",5.5,6.3,97,"Amazon","English"
"Mr. Right",2016,"18+",6.3,4.4,95,"Netflix","English"
"The Quiet",2005,"18+",6.2,2.1,96,"Amazon","English"
"Scott Walker: 30 Century Man",2007,"all",7.2,8.7,95,"Amazon","English"
"Angel of Mine",2019,"18+",6.5,7.1,98,"Hulu","English"
"Pandemic",2016,"13+",4.4,4.4,91,"Amazon","English"
"Shivaay",2016,"13+",6.2,1.7,153,"Amazon","Foreign"
"The Scenesters",2009,"18+",5.9,4.3,101,"Amazon","English"
"101 Dalmatians",1996,"all",5.7,4.2,103,"Disney+","English"
"Manhunt: The Inside Story of the Hunt for Bin Laden",2013,"16+",6.9,5.7,102,"Amazon","English"
"Burlesque",2010,"13+",6.4,3.6,119,"Netflix","English"
"Rugrats Go Wild",2003,"7+",5.6,3.9,80,"Netflix","English"
"If Beale Street Could Talk",2018,"18+",7.1,9.5,119,"Hulu","English"
"Sliver",1993,"18+",5,1.1,107,"Netflix","English"
"Heidi",2015,"all",7.4,10,111,"Amazon","Foreign"
"Man in Red Bandana",2017,"13+",8.1,6.3,85,"Amazon","English"
"Digging for Fire",2015,"18+",5.8,6.6,85,"Multiple","English"
"Bird Box",2018,"18+",6.6,6.3,124,"Netflix","English"
"The World Is Yours",2018,"18+",6.4,10,102,"Netflix","Foreign"
